Video ID,User ID,Comment,Comment_Length,Word_Count,VADER_Score,VADER_Sentiment,TextBlob_Score,TextBlob_Sentiment,Sentiment,Confidence
DW,UCgDuFgJQ4a0TJ8HCDnW8i3w,He slapped his chest and extended his arm with all five fingers straight. Idk what else that’s supposed to look like chief.,123,22,Positive,0.4588,Positive,0.2,NEGATIVE,0.4847899079322815
DW,UCSkVAxUmDh8jqxK6MLeBhSA,Guess who&#39;s back !WP,24,4,Positive,0.4633,Neutral,0.0,NEUTRAL,0.6449396014213562
DW,UCleLTG0Vm5s3jNcoZOdNGCQ,During ay speech,16,3,Neutral,0.0,Neutral,0.0,NEUTRAL,0.8623548150062561
DW,UCLV3vjTw_kSdKOQZlDSHB2A,So? The bloody left is bloody EXTREME!!! 🤬🤬🤬🤬🤬🤬,47,8,Negative,-0.8038,Negative,-0.46103515625,NEGATIVE,0.9550110697746277
DW,UC1ozNqKFTv4lPOOdU3rtBbg,Teslas are gonna fly off those lots!! 😂,39,8,Neutral,0.0,Positive,1.0,NEUTRAL,0.44273537397384644
DW,UCUlvbKYre-cqi1HJSsdtuIQ,That woman looks like Sarah Paulson,35,6,Positive,0.3612,Neutral,0.0,NEUTRAL,0.7447395920753479
DW,UC90t2cz2xuP9ZDXIASRuERg,🫡,1,1,Neutral,0.0,Neutral,0.0,NEUTRAL,0.5632143616676331
DW,UCoMeOCmGmC3c1eN-dXYO9PQ,Only a wacko job would pick on a man with Asberger,50,11,Neutral,0.0,Neutral,0.0,NEGATIVE,0.8804036974906921
DW,UCLMnp7Gr_xl3AjNv5B_8Ssg,"When you look like a duck, walk like a duck, and talk like a duck, you are a duck.",82,19,Positive,0.7579,Neutral,0.0,NEGATIVE,0.8088440895080566
DW,UCLMnp7Gr_xl3AjNv5B_8Ssg,The reincarnation!,18,2,Neutral,0.0,Neutral,0.0,NEUTRAL,0.6538441777229309
DW,UCWoI_5837jm5WhI-IVAPJ3Q,Omgsh people find a problem with everything. No wonder his plan is to replace humans with robots 🙄🙄🙄🙄🙄,102,18,Negative,-0.5994,Neutral,0.0,NEGATIVE,0.9458880424499512
DW,UCR-8UToE_WYncT1ooRDJWXQ,He is saying my heart goes out to you. But of course the media talks over him.,78,17,Neutral,0.0,Neutral,0.0,NEGATIVE,0.591765820980072
DW,UCPGSai8pf-IQocMwsorUmQA,<b>BASED ELON MUSK</b>,22,3,Neutral,0.0,Neutral,0.0,NEUTRAL,0.7851297855377197
DW,UCil83d7FcY0g90RfCqF7g5Q,Woah. 🫥<br>I had to look it up just to see what all the fuss was about. I was totally expecting for it to be an overreaction but boy they weren&#39;t kidding😅<br>Has the US just entered it&#39;s vilan origin era ?🫢<br>Lex Luther needs to stop.,243,44,Negative,-0.4854,Neutral,0.0,NEGATIVE,0.7398808002471924
DW,UCgJr4Y-1wk0dQxF3DSRNB4g,Yeah man,8,2,Positive,0.296,Neutral,0.0,NEUTRAL,0.5936005711555481
DW,UCUA6DqMTm5fvA_OwT65lfyw,"Balch Pledge<br><br>We give our heads and hearts to God and our country; one country, one language, one flag!",109,18,Positive,0.3382,Neutral,0.0,POSITIVE,0.7022855281829834
DW,UCPZKqgOV5e2z4s5H6IeY3Rw,He is n4 $ 1,12,5,Neutral,0.0,Neutral,0.0,NEUTRAL,0.8764691948890686
DW,UCIqz2k4czIkKQpJEq2mZc7w,How could u go to jail in germany for a salute thats crazy .,60,14,Negative,-0.34,Negative,-0.35,NEGATIVE,0.8246073126792908
DW,UCPAFLmpLQt0c6Fk7bOkxglQ,"View, Killing of the mind. Mass Psychosis-How an entire population becomes mentally ill. And Cipolla&#39;s <br>The Basic Laws of Human Stupidity.",145,21,Negative,-0.8779,Negative,-0.22000000000000003,NEGATIVE,0.9146133065223694
DW,UCPAFLmpLQt0c6Fk7bOkxglQ,He mimics the salute given by Germanys&#39; military during the 2nd World War. What&#39;s done behind closed doors is the concern.,130,21,Negative,-0.5994,Negative,-0.15,NEUTRAL,0.513986349105835
DW,UCaXz-sbkpyNMMFcFGH7kB6w,If nobody ever complained abour Macron or Kamala´s vice doing exactly the same gesture then is because people are being manipulated by the media to hate the one they hate. How is it than other famous people have done exactly the same gesture and nobody ever complained? is teh gesture or the person? People go watch those videos and then come back and let me know why the media and you didn´t complain.,402,73,Negative,-0.9536,Negative,-0.12045454545454547,NEGATIVE,0.5718526840209961
DW,UCmtef71jm9sL2wp2olPrj_A,"The media is really misleading people only listening on radio, pretending it is debatable",89,14,Negative,-0.3804,Positive,0.1,NEGATIVE,0.8057157397270203
DW,UC4sAeNTmTbabA4BUGPmsSUQ,"STOP TRYING TO BATTLE THE SALUTE. YOU DID THIS, MUSK, AND YOU WILL PAY HARSHLY",78,15,Negative,-0.6369,Negative,-0.2,NEUTRAL,0.5024027228355408
DW,UC4sAeNTmTbabA4BUGPmsSUQ,"TRUMP IS GOING DOWN 😂😂😂,YOU TO MUSK",35,7,Neutral,0.0,Negative,-0.15555555555555556,NEGATIVE,0.8177770376205444
DW,UCvlfXAB7FKFYkmXt0VSEZvg,"It is so obvious that Elon was simply making an I love you all sort of gesture touching his heart, and then throwing out his hand as an excited awkward wave, and then touching his heart again and signaling to the flag. He even says my heart goes out to you. I&#39;m not making fun of Elon Musk, but in one-to-one interviews, he is relaxed, a little bit anxious, has anyone might be, but maybe he becomes even more anxious in front of a larger crowd such as that, that was at the inauguration. Even I, who am an experienced AD&amp;D 2nd Edition DM, who has run many different campaigns, in front of many different groups and sizes of groups, would probably be quite nervous in front of thousands of people. And for someone like myself, who would be nervous in front of so many, just like me, his muscles probably just froze up a bit, they got a bit tense. And of course the media caught a picture of his face the way it looked, but it wasn&#39;t meant to be what they think it was or what they are portraying it as, but instead you can see his muscles tensing up, and he&#39;s sort of biting his lip, or his mouth is stretching a bit, in an anxious way. Someone else had mentioned, it was just an awkward gesture, due to this anxiety and these muscles freezing up. It happens to a lot of people. People really do jump to conclusions quite easily in this world. I think we just need to cut the guy some slack so what, he&#39;s opinionated, he&#39;s forward, he&#39;s blunt, he&#39;s open, I&#39;m the same way a lot of people don&#39;t like it. People don&#39;t like hearing the truth, especially  about themselves. But if people like myself, don&#39;t say something about it, who&#39;s going to? I don&#39;t think it&#39;s based on how much money the guy has, it&#39;s just based on not wanting to BS anyone, and be willing to speak up, when others won&#39;t. It&#39;s better to speak the truth and hurt someone&#39;s pride or ego, than to keep it in, and never say what&#39;s on one&#39;s mind, when they have a conviction to say it. God does not make mistakes, and he makes people as they are, for a reason. Perhaps his reason, is to speak out, and outwardly because others will not.",2184,402,Positive,0.9546,Positive,0.12007575757575759,NEGATIVE,0.47844523191452026
DW,UCzyVISNABxi2bxbNYogOTSw,Musk-like Trump and Biden- count on those with lower I.Q.s to put them in positions of power. And they didn&#39;t let them down.,128,23,Negative,-0.296,Negative,-0.15555555555555556,NEUTRAL,0.54365074634552
DW,UCPhYONK83AHeRFLJkf1MUfA,"Chancellor Donald J. TRUMP approves of comrade Wernher Von Braun- I mean- Elon Musk!<br><br>24 hours later, Chancellor Trump pardons Proud Boys...",146,21,Positive,0.807,Positive,0.1625,POSITIVE,0.6658636927604675
DW,UCbBLFKyBbeGVHlPw-sPrRSQ,Wow,3,1,Positive,0.5859,Positive,0.1,POSITIVE,0.6477489471435547
DW,UCYQpvmy4tGuLSNMQXUK6xqg,"Elon , why are you saluting like that?❤❤",40,8,Positive,0.3612,Neutral,0.0,NEUTRAL,0.5224108695983887
DW,UC6BusThVWfaDr6LLZaUt1Ng,Completely disgraceful,22,2,Neutral,0.0,Positive,0.1,NEGATIVE,0.9667988419532776
DW,UC4qeO4RsuyS08aWAOWhG5Hw,bit disappointing that DW can&#39;t call a Sieg heil a Sieg heil.,65,12,Negative,-0.4939,Negative,-0.6,NEGATIVE,0.8757333159446716
DW,UC22G3wzW7S3MNiWBMN760LQ,"What Elon Musk did Actually is a Roman salute to Caesar,notice the palm going outward",85,15,Neutral,0.0,Neutral,0.0,NEUTRAL,0.6994798183441162
DW,UC1ty0QrwGEaRfFcoYvVn8EA,He is Hitlon Musk!,18,4,Neutral,0.0,Neutral,0.0,NEUTRAL,0.6146529316902161
DW,UCaYys2CMKn8zoIAf8TQR13A,Did no one hear the song that was playing during the speech “heart goes out to you “ it was definitely a gesture for the song playing . Dude was stimming .,155,32,Positive,0.4767,Neutral,0.0,NEUTRAL,0.5700452923774719
DW,UCbFlLPRIs3hBnD-1TuNQWCQ,Why would you ask did do it when you seen it boy y&#39;all stick up for y&#39;all people right 😅😂,97,20,Neutral,0.0,Positive,0.2857142857142857,NEUTRAL,0.6491920351982117
DW,UCZqgtpxuIW7qDAtSTTU-DHQ,He certainly knows it looks like one. Why would he be so ignorant enough to use it?,83,17,Positive,0.2866,Positive,0.10714285714285714,NEGATIVE,0.8011000752449036
DW,UCeUbzhWmg8cnRKPt9hk-7Lg,NONSENSE - that is nothing but a wave we all use when reaching towards crowds of people or people in the distance.  Nothing to do with &#39;resembling&#39; anything unless you want to cause him trouble.  It is extremely insulting to those of us who lived through real fascism and died in concentration camps to make such a fatuous comparison.,342,59,Negative,-0.9294,Negative,-0.25,NEGATIVE,0.9466798901557922
DW,UCUP4-WUPEybKoc7SZoAuzEg,"That was a salute to that crowd for voting for Trump. I could tell… and I voted for both Clintons, Obama, Biden and Harris. People are taking this too far. See it in full context people!!!! It’s no wonder people pray. Seems like common sense is going out of both parties.Gezzze!",278,51,Positive,0.5815,Positive,0.19316406249999998,NEGATIVE,0.4905838966369629
DW,UChZpVxyYhZie-XjS50MAQBQ,So what is German government going to do about this?,52,10,Neutral,0.0,Neutral,0.0,NEUTRAL,0.7393149733543396
DW,UCiQjAm2v176dEBpBSUFzK4A,Why is there Quebec flag in the background? Is it a french canadian hotel?,74,14,Neutral,0.0,Neutral,0.0,NEUTRAL,0.798897922039032
DW,UC4iYekL3hoPYj3TK7ARmnAg,History always repeats itself. ALWAYS!!! I see 666 on their forehead.,69,11,Neutral,0.0,Neutral,0.0,NEGATIVE,0.7801210880279541
DW,UC4iYekL3hoPYj3TK7ARmnAg,History always repeats itself. ALWAYS!!!,40,5,Neutral,0.0,Neutral,0.0,NEGATIVE,0.6494290232658386
DW,UC4iYekL3hoPYj3TK7ARmnAg,WAIT!!!! WTF???😮😮😮😮😮,20,2,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9190219640731812
DW,UC3N1hQKlxyCPZzAFWqd8Jlw,Anti human DW.,14,3,Negative,-0.3182,Neutral,0.0,NEGATIVE,0.696433961391449
DW,UCb7JSoJH_XKtiHCxHTAvMJw,Media nonsense.<br>You now deny the evidence before your eyes and ear even with effort and energy put into it twice. Bulshit! Bulshit!!,135,22,Negative,-0.2905,Neutral,0.0,NEGATIVE,0.9410321116447449
DW,UCZPbThyRq9SsShZJm0Sd8Pw,He’s just advertising for the new Model SS.  It’ll have a range of Germany to Poland.,85,16,Neutral,0.0,Positive,0.13636363636363635,NEUTRAL,0.7938734889030457
